Player,Position,Team,Pts.,Sel.,Cost
Palmer,MID,CHE,244,7.30%,10.5
Foden,MID,MCI,230,5.70%,9.5
Watkins,FWD,AVL,228,33.70%,9
Saka,MID,ARS,226,6.30%,10
Haaland,FWD,MCI,217,16.00%,15
Son,MID,TOT,213,6.10%,10
M.Salah,MID,LIV,211,7.60%,12.5
Ødegaard,MID,ARS,186,5.20%,8.5
Gordon,MID,NEW,183,3.80%,7.5
White,DEF,ARS,182,3.50%,6.5
Bowen,MID,WHU,182,3.10%,7.5
Havertz,FWD,ARS,180,14.70%,8
Solanke,FWD,BOU,175,23.30%,7.5
Isak,FWD,NEW,172,65.10%,8.5
B.Fernandes,MID,MUN,166,5.00%,8.5
Rice,MID,ARS,165,1.20%,6.5
Mateta,FWD,CRY,165,22.50%,7.5
Saliba,DEF,ARS,164,44.60%,6
Rodrigo,MID,MCI,159,1.70%,6.5
J.Alvarez,FWD,MCI,158,1.10%,7
Gross,MID,BHA,153,1.90%,6.5
Pickford,GKP,EVE,153,5.00%,5
Bruno G.,MID,NEW,153,1.90%,6.5
Gabriel,DEF,ARS,149,44.20%,6
Bailey,MID,AVL,148,1.80%,6.5
Ward-Prowse,MID,WHU,146,1.60%,6.5
Diaby,MID,AVL,142,1.70%,6.5
N.Jackson,FWD,CHE,142,22.30%,7.5
Luis Díaz,MID,LIV,142,2.70%,7.5
Gibbs-White,MID,NFO,142,1.70%,6.5
Bernardo,MID,MCI,141,1.90%,6.5
Trossard,MID,ARS,138,11.90%,7
Kudus,MID,WHU,137,7.10%,6.5
Eze,MID,CRY,136,39.20%,7
Pedro Porro,DEF,TOT,136,16.50%,5.5
Raya,GKP,ARS,135,22.30%,5.5
Cunha,FWD,WOL,135,2.70%,6.5
Leno,GKP,FUL,133,3.60%,5
Onana,GKP,MUN,133,6.00%,5
Darwin,FWD,LIV,132,10.20%,7.5
Wissa,FWD,BRE,131,1.80%,6
Garnacho,MID,MUN,131,7.20%,6.5
Wood,FWD,NFO,131,2.10%,6
Johnson,MID,TOT,131,1.50%,6.5
Kulusevski,MID,TOT,130,1.30%,6.5
Gallagher,MID,CHE,129,1.00%,6
Mbeumo,MID,BRE,127,26.80%,7
Andreas,MID,FUL,127,2.40%,5.5
Hee Chan,MID,WOL,125,2.10%,6.5
Branthwaite,DEF,EVE,124,7.40%,5
McNeil,MID,EVE,124,0.90%,5.5
Sterling,MID,CHE,123,22.80%,7
Gvardiol,DEF,MCI,123,29.60%,6
Walker,DEF,MCI,123,6.30%,5.5
Schär,DEF,NEW,123,7.30%,5.5
Alexander-Arnold,DEF,LIV,122,13.30%,7
Richarlison,FWD,TOT,122,1.50%,7
Andersen,DEF,CRY,121,10.90%,4.5
McGinn,MID,AVL,119,1.20%,5.5
Flekken,GKP,BRE,119,11.90%,4.5
Mitchell,DEF,CRY,119,2.50%,5
Elanga,MID,NFO,119,2.40%,5.5
Martinelli,MID,ARS,118,12.60%,7
Tarkowski,DEF,EVE,117,1.50%,5
Virgil,DEF,LIV,117,21.30%,6
Maddison,MID,TOT,117,5.10%,7.5
A.Doucoure,MID,EVE,116,0.70%,5.5
Areola,GKP,WHU,116,9.40%,4.5
Souček,MID,WHU,116,1.00%,5
Martinez,GKP,AVL,115,7.20%,5
Ederson M.,GKP,MCI,112,13.20%,5.5
Akanji,DEF,MCI,112,4.60%,5.5
Højlund,FWD,MUN,112,3.20%,7
Vicario,GKP,TOT,112,4.60%,5
Dalot,DEF,MUN,111,4.50%,5
Trippier,DEF,NEW,111,24.30%,6
Neto,GKP,BOU,110,2.80%,4.5
Diogo J.,MID,LIV,110,3.60%,7.5
Longstaff,MID,NEW,110,0.40%,5
J.Ayew,MID,CRY,109,0.70%,5.5
Mac Allister,MID,LIV,109,2.00%,6.5
Hudson-Odoi,MID,NFO,109,3.20%,5.5
Rashford,MID,MUN,108,27.00%,7
Semenyo,MID,BOU,107,1.40%,5.5
A.Becker,GKP,LIV,107,17.80%,5.5
Romero,DEF,TOT,107,2.40%,5
José Sá,GKP,WOL,107,2.60%,4.5
Gakpo,FWD,LIV,106,10.80%,7.5
Castagne,DEF,FUL,105,2.40%,4.5
Zinchenko,DEF,ARS,104,1.20%,5
João Pedro,FWD,BHA,104,13.20%,5.5
Robinson,DEF,FUL,104,4.30%,4.5
Senesi,DEF,BOU,102,1.30%,5
Iwobi,MID,FUL,102,0.60%,5.5
Barkley,MID,AVL,101,1.00%,5.5
Mykolenko,DEF,EVE,101,3.90%,4.5
Calvert-Lewin,FWD,EVE,101,1.10%,6
Kluivert,MID,BOU,100,0.70%,5.5
L.Paquetá,MID,WHU,100,1.20%,6
Szoboszlai,MID,LIV,99,1.40%,6.5
Aké,DEF,MCI,99,4.40%,5.5
Sarabia,MID,WOL,99,0.70%,5.5
Jensen,MID,BRE,98,0.50%,5.5
De Bruyne,MID,MCI,98,7.00%,9.5
Doku,MID,MCI,98,2.40%,6.5
McTominay,MID,MUN,98,0.60%,5
Adingra,MID,BHA,97,1.20%,5.5
Muniz,FWD,FUL,97,3.30%,6
Burn,DEF,NEW,97,12.20%,4.5
Elliott,MID,LIV,96,0.80%,5.5
Mario Jr.,MID,WOL,95,0.20%,5
Mudryk,MID,CHE,94,0.90%,6.5
Wilson,MID,FUL,94,0.50%,5.5
Janelt,MID,BRE,93,0.20%,5
Harrison,MID,EVE,92,0.50%,5.5
De Cordova-Reid,MID,LEI,92,0.60%,5.5
Konsa,DEF,AVL,91,11.10%,4.5
Christie,MID,BOU,90,0.20%,5
Tavernier,MID,BOU,89,0.60%,5.5
Dunk,DEF,BHA,89,4.00%,4.5
Rúben,DEF,MCI,88,4.00%,5.5
Garner,MID,EVE,87,0.20%,5
Sarr,MID,TOT,86,0.30%,5
Neto,MID,WOL,86,2.00%,6.5
G.Jesus,FWD,ARS,85,0.80%,7
Digne,DEF,AVL,85,1.40%,4.5
Pau,DEF,AVL,85,1.50%,4.5
Coufal,DEF,WHU,85,1.00%,4.5
Zabarnyi,DEF,BOU,84,0.90%,4.5
Collins,DEF,BRE,84,0.60%,4.5
Caicedo,MID,CHE,84,0.40%,5
Archer,FWD,AVL,82,0.80%,5
J.Murphy,MID,NEW,82,0.50%,5.5
Emerson,DEF,WHU,82,0.70%,4.5
Kilman,DEF,WHU,82,1.00%,4.5
Toti,DEF,WOL,82,0.50%,4.5
Van de Ven,DEF,TOT,81,4.10%,4.5
Smith,DEF,BOU,80,0.50%,4.5
Welbeck,FWD,BHA,79,0.10%,5.5
Edouard,FWD,CRY,79,0.40%,5.5
Udogie,DEF,TOT,79,5.30%,5
Antonio,FWD,WHU,78,0.40%,5.5
Tielemans,MID,AVL,77,0.60%,5.5
Cook,MID,BOU,77,0.10%,5
Pinnock,DEF,BRE,77,0.70%,4.5
Enzo,MID,CHE,77,0.60%,5
McAtee,MID,MCI,77,0.10%,5
Mainoo,MID,MUN,77,3.10%,5.5
Almirón,MID,NEW,77,1.00%,6
Aït-Nouri,DEF,WOL,77,5.40%,4.5
Madueke,MID,CHE,76,0.90%,6.5
Young,DEF,EVE,76,0.50%,4.5
Maupay,FWD,EVE,76,0.90%,5
Gomez,DEF,LIV,76,0.70%,5
Robertson,DEF,LIV,76,19.90%,6
Zouma,DEF,WHU,76,0.70%,4.5
Roerslev,DEF,BRE,75,0.50%,4.5
Dúbravka,GKP,NEW,75,1.60%,4.5
J.Gomes,MID,WOL,75,0.20%,5
Nørgaard,MID,BRE,74,0.20%,5
Mitoma,MID,BHA,74,2.00%,6.5
Gusto,DEF,CHE,74,3.20%,5
Reguilón,DEF,TOT,74,0.60%,4.5
Lewis-Potter,MID,BRE,73,0.10%,5
Gana,MID,EVE,73,0.10%,5
Maguire,DEF,MUN,73,0.80%,5
Raúl,FWD,FUL,72,0.20%,5.5
Nketiah,FWD,ARS,71,0.60%,6
Petrović,GKP,CHE,71,3.60%,4.5
Disasi,DEF,CHE,71,0.90%,4.5
Tomiyasu,DEF,ARS,70,0.60%,5
Cairney,MID,FUL,70,0.10%,5
Foderingham,GKP,WHU,70,0.70%,4.5
Ferguson,FWD,BHA,69,0.10%,5.5
Wilson,FWD,NEW,69,0.70%,7
Dawson,DEF,WOL,69,0.50%,4.5
Ajer,DEF,BRE,68,0.70%,4.5
Verbruggen,GKP,BHA,68,4.30%,4.5
Johnstone,GKP,CRY,68,1.50%,4.5
Kiwior,DEF,ARS,67,0.60%,5
Dominguez,MID,NFO,67,0.10%,5
Awoniyi,FWD,NFO,67,1.60%,6
Tosin,DEF,CHE,66,0.60%,4.5
Guéhi,DEF,CRY,66,7.10%,4.5
Schlupp,MID,CRY,66,0.10%,5
Onana,MID,EVE,66,0.40%,5
Bassey,DEF,FUL,66,0.60%,4.5
Colwill,DEF,CHE,65,1.50%,4.5
Danilo,MID,NFO,65,0.10%,5
Cash,DEF,AVL,64,2.20%,4.5
Lerma,MID,CRY,64,0.10%,5
Barnes,MID,NEW,64,1.20%,6.5
N.Semedo,DEF,WOL,63,0.00%,4.5
C.Richards,DEF,CRY,62,0.60%,4.5
Lindelof,DEF,MUN,62,0.50%,4.5
Álvarez,MID,WHU,62,0.20%,5
Van Hecke,DEF,BHA,61,0.60%,4.5
Gilmour,MID,BHA,61,0.20%,5
Hughes,MID,CRY,61,0.10%,5
Philip,MID,BOU,60,0.10%,5
Kerkez,DEF,BOU,59,1.10%,4.5
Sánchez,GKP,CHE,59,2.70%,4.5
Kovačić,MID,MCI,59,0.40%,5.5
Yates,MID,NFO,59,0.10%,5
Casemiro,MID,MUN,58,0.20%,5
Boly,DEF,NFO,58,0.60%,4.5
Murillo,DEF,NFO,58,0.90%,4.5
Toney,FWD,BRE,57,15.50%,7.5
Estupiñan,DEF,BHA,57,0.10%,5
Buonanotte,MID,BHA,57,0.20%,5
Pope,GKP,NEW,57,5.40%,5
O.Dango,MID,BOU,56,0.10%,5
Muñoz,DEF,CRY,56,3.80%,5
Konaté,DEF,LIV,56,1.60%,5
Diego Carlos,DEF,AVL,55,0.70%,4.5
Ward,DEF,CRY,54,0.50%,4.5
Stones,DEF,MCI,53,4.10%,5.5
Clyne,DEF,CRY,52,0.50%,4.5
Lewis,DEF,MCI,52,0.50%,4.5
Toffolo,DEF,NFO,52,0.50%,4.5
Botman,DEF,NEW,51,0.10%,4.5
Duran,FWD,AVL,50,0.60%,6
D.D.Fofana,FWD,CHE,50,0.10%,5.5
Wharton,MID,CRY,50,0.70%,5
Beto,FWD,EVE,50,0.60%,5
Bradley,DEF,LIV,50,0.90%,5
Grealish,MID,MCI,50,0.80%,6.5
Alex Moreno,DEF,AVL,49,1.20%,4.5
Veltman,DEF,BHA,49,0.50%,4.5
Quansah,DEF,LIV,49,0.70%,4.5
Evans,DEF,MUN,49,0.50%,4.5
Henderson,GKP,CRY,48,4.30%,4.5
Tsimikas,DEF,LIV,48,0.50%,5
Eriksen,MID,MUN,48,0.50%,5.5
Kelly,DEF,NEW,48,0.60%,4.5
Reed,MID,FUL,47,0.10%,5
Endo,MID,LIV,47,0.20%,5
Wan-Bissaka,DEF,MUN,47,0.70%,4.5
Antony,MID,MUN,47,0.60%,6
Taylor,DEF,SOU,47,3.30%,4
Lo Celso,MID,TOT,47,0.10%,5
Lascelles,DEF,NEW,46,0.00%,4.5
Werner,MID,TOT,46,0.90%,6.5
Damsgaard,MID,BRE,45,0.20%,5
Gravenberch,MID,LIV,45,0.20%,5
Livramento,DEF,NEW,45,1.00%,4.5
Joelinton,MID,NEW,45,0.70%,6
Aina,DEF,NFO,45,0.90%,4.5
Bellegarde,MID,WOL,45,0.10%,5
Jorginho,MID,ARS,44,0.20%,5
Cucurella,DEF,CHE,44,5.30%,5
Miley,MID,NEW,44,0.00%,5
Bissouma,MID,TOT,44,0.20%,5
Sinisterra,MID,BOU,43,0.30%,5
Diop,DEF,FUL,43,0.50%,4.5
Lukić,MID,FUL,43,0.10%,5
Steele,GKP,BHA,42,0.90%,4.5
Hinshelwood,MID,BHA,42,0.10%,5
Anderson,MID,NFO,42,0.20%,5
Scott,MID,BOU,41,0.10%,5
Turner,GKP,NFO,41,7.40%,4
Doherty,DEF,WOL,41,0.60%,4.5
Kamara,MID,AVL,40,0.00%,5
Enes Ünal,FWD,BOU,40,0.10%,5.5
Ream,DEF,FUL,40,0.50%,4.5
Jones,MID,LIV,40,0.40%,5.5
Mavropanos,DEF,WHU,40,0.50%,4.5
Mee,DEF,BRE,39,1.70%,4.5
Onyeka,MID,BRE,39,0.10%,5
March,MID,BHA,39,0.00%,6.5
Chalobah,DEF,CHE,39,0.60%,4.5
N.Williams,DEF,NFO,39,0.60%,4.5
Højbjerg,MID,TOT,39,0.20%,5
Hall,DEF,NEW,38,0.90%,4.5
Doyle,MID,WOL,38,0.20%,5
Igor,DEF,BHA,37,0.50%,4.5
Adama,MID,FUL,36,0.20%,5
N.Aguerd,DEF,WHU,36,0.50%,4.5
Ings,FWD,WHU,36,0.60%,5
Rogers,MID,AVL,35,0.30%,5
B.Badiashile,DEF,CHE,35,0.50%,4.5
Broja,FWD,CHE,35,0.00%,5.5
Baleba,MID,BHA,34,0.10%,5
Patterson,DEF,EVE,34,0.50%,4.5
Kelleher,GKP,LIV,34,0.70%,4.5
Sels,GKP,NFO,34,1.80%,4.5
Davies,DEF,TOT,34,0.50%,4.5
Schade,MID,BRE,33,0.50%,5.5
Yarmoliuk,MID,BRE,33,2.10%,4.5
Krafth,DEF,NEW,33,0.50%,4.5
Matheus N.,MID,MCI,32,0.10%,5
Bentancur,MID,TOT,32,0.30%,5
Lamptey,DEF,BHA,31,0.70%,4.5
Shaw,DEF,MUN,31,3.80%,5
Coleman,DEF,EVE,30,0.50%,4.5
Bobb,MID,MCI,30,0.20%,5
Lallana,MID,SOU,30,0.20%,5
Ramsey,MID,AVL,29,0.50%,5.5
Zanka,DEF,BRE,29,0.50%,4.5
Nkunku,MID,CHE,29,10.10%,6.5
H.Bueno,DEF,WOL,29,0.50%,4.5
Aarons,DEF,BOU,28,0.70%,4.5
Milner,MID,BHA,28,0.10%,5
Tete,DEF,FUL,27,0.50%,4.5
E.Royal,DEF,TOT,27,0.50%,4.5
Webster,DEF,BHA,26,0.50%,4.5
Smith Rowe,MID,ARS,25,0.60%,5.5
Sangaré,MID,NFO,25,1.10%,4.5
B.Traore,MID,WOL,25,0.10%,5
Fábio Vieira,MID,ARS,24,0.40%,5.5
Thomas,MID,ARS,24,0.20%,5
Chilwell,DEF,CHE,24,1.00%,5
Fabianski,GKP,WHU,24,4.40%,4
Kalajdžić,FWD,WOL,24,0.30%,5
Brooks,MID,BOU,23,0.20%,5
Amad,MID,MUN,23,0.30%,5
Mount,MID,MUN,23,0.80%,6.5
Vinicius,FWD,FUL,22,0.60%,5
Ortega Moreno,GKP,MCI,22,11.90%,5.5
Skipp,MID,TOT,22,0.10%,5
Moder,MID,BHA,21,0.60%,4.5
C.Doucouré,MID,CRY,21,0.20%,5
Ramsdale,GKP,ARS,20,1.00%,4.5
Dendoncker,MID,AVL,20,0.80%,4.5
Enciso,MID,BHA,20,0.70%,5.5
Gilchrist,DEF,CHE,20,0.90%,4
Travers,GKP,BOU,19,0.80%,4.5
Dobbin,MID,AVL,18,0.10%,5
Keane,DEF,EVE,18,1.20%,4
Willock,MID,NEW,18,0.20%,5
Bentley,GKP,WOL,18,0.90%,4
Olsen,GKP,AVL,17,0.80%,4.5
Hickey,DEF,BRE,17,0.50%,4.5
Johnson,DEF,IPS,17,1.20%,4
Nelson,MID,ARS,16,0.10%,5
Mepham,DEF,BOU,16,0.50%,4.5
Chukwuemeka,MID,CHE,16,0.20%,5
Ahamada,MID,CRY,16,0.40%,4.5
M.França,MID,CRY,16,0.50%,4.5
Y. Chermiti,FWD,EVE,16,0.30%,5
Tonali,MID,NEW,16,0.00%,5.5
Martinez,DEF,MUN,15,4.90%,4.5
Dahoud,MID,BHA,14,0.10%,5
Dragusin,DEF,TOT,14,0.70%,4.5
Solomon,MID,TOT,14,0.40%,5.5
Henry,DEF,BRE,13,1.00%,4.5
Ugochukwu,MID,CHE,13,0.30%,4.5
Pellistri,MID,MUN,13,0.10%,5
Worrall,DEF,NFO,13,0.50%,4.5
Cornet,MID,WHU,13,0.10%,5
S.Bueno,DEF,WOL,13,0.50%,4.5
Odysseas,GKP,NEW,12,0.70%,4.5
Bryan,MID,TOT,12,0.10%,5
Maatsen,DEF,AVL,11,5.40%,5
James,DEF,CHE,11,0.50%,5
Casadei,MID,CHE,11,0.20%,4.5
Hannibal,MID,MUN,11,0.10%,4.5
Omobamidele,DEF,NFO,11,0.50%,4.5
Veliz,FWD,TOT,11,0.30%,5
Iroegbunam,MID,EVE,10,0.20%,4.5
Phillips,MID,MCI,10,0.10%,5
Cresswell,DEF,WHU,10,1.40%,4
Ozoh,MID,CRY,8,0.10%,4.5
Rak-Sakyi,MID,CRY,8,0.20%,4.5
Earthy,MID,WHU,8,0.20%,4.5
Chirewa,MID,WOL,8,0.10%,4.5
Fábio Silva,FWD,WOL,8,0.40%,5
Thomas,DEF,LEI,7,1.00%,4
Fraser,FWD,WOL,7,1.60%,4.5
Hill,DEF,BOU,5,0.70%,4
Adams,MID,BOU,5,0.30%,5
Barco,DEF,BHA,5,1.40%,4
Clark,MID,LIV,5,0.10%,4.5
Chiwome,FWD,WOL,5,0.70%,4.5
Faivre,MID,BOU,4,0.10%,5
Offiah,DEF,BHA,4,0.50%,4
Baker-Boaitey,MID,BHA,4,0.10%,4.5
Scarlett,FWD,TOT,4,0.80%,4.5
Kesler-Hayden,DEF,AVL,3,0.50%,4
Anthony,MID,BOU,3,0.50%,4.5
H.Traorè,MID,BOU,3,0.20%,4.5
Dasilva,MID,BRE,3,0.20%,5
Peart-Harris,MID,BRE,3,0.10%,4.5
McConnell,MID,LIV,3,0.10%,4.5
Sancho,MID,MUN,3,1.00%,6.5
White,MID,NEW,3,0.20%,4.5
O’Mahony,FWD,BHA,2,0.70%,4.5
Kellyman,MID,CHE,2,0.10%,4.5
Deivid,FWD,CHE,2,0.30%,5
Harris,MID,FUL,2,0.10%,4.5
A.Murphy,DEF,NEW,2,0.80%,4
Targett,DEF,NEW,2,0.70%,4
Nwaneri,MID,ARS,1,0.10%,4.5
Jebbison,FWD,BOU,1,0.90%,4.5
Andrey Santos,MID,CHE,1,0.10%,4.5
Lavia,MID,CHE,1,0.40%,4.5
Matthews,GKP,CRY,1,0.30%,4
Holgate,DEF,EVE,1,0.70%,4
Bajcetic,MID,LIV,1,0.20%,4.5
Doak,MID,LIV,1,0.10%,4.5
Gonzalez,MID,WOL,1,0.10%,4.5
Hein,GKP,ARS,0,0.40%,4
J.Timber,DEF,ARS,0,4.70%,5.5
Tierney,DEF,ARS,0,0.50%,4.5
Gauci,GKP,AVL,0,0.30%,4
Marschall,GKP,AVL,0,0.20%,4
Sinisalo,GKP,AVL,0,0.20%,4
Hause,DEF,AVL,0,0.70%,4
Mings,DEF,AVL,0,0.70%,4.5
Nedeljkovic,DEF,AVL,0,0.50%,4
Sousa,DEF,AVL,0,0.60%,4
Barrenechea,MID,AVL,0,0.10%,5
Buendia,MID,AVL,0,0.50%,5.5
Iling Jr,MID,AVL,0,0.50%,5.5
Paulsen,GKP,BOU,0,0.40%,4
Valdimarsson,GKP,BRE,0,1.20%,4
Ji-soo,DEF,BRE,0,0.60%,4
Brierley,MID,BRE,0,0.20%,4.5
Konak,MID,BRE,0,0.10%,4.5
Thiago,FWD,BRE,0,0.70%,6
Cozier-Duberry,MID,BHA,0,0.20%,4.5
I.Osman,MID,BHA,0,0.10%,5
Kozlowski,MID,BHA,0,0.10%,4.5
Mazilu,MID,BHA,0,0.10%,4.5
Minteh,MID,BHA,0,0.70%,5.5
Peupion,MID,BHA,0,0.10%,4.5
Sarmiento,MID,BHA,0,0.10%,5
Wieffer,MID,BHA,0,0.20%,5
Undav,FWD,BHA,0,0.10%,5.5
Arrizabalaga,GKP,CHE,0,0.90%,4.5
Bergström,GKP,CHE,0,0.20%,4
M.Sarr,DEF,CHE,0,0.50%,4.5
W.Fofana,DEF,CHE,0,0.60%,4.5
Ângelo,MID,CHE,0,0.30%,4.5
Dewsbury-Hall,MID,CHE,0,1.00%,6
Renato Veiga,MID,CHE,0,0.20%,4.5
Lukaku,FWD,CHE,0,0.70%,6.5
Marc Guiu,FWD,CHE,0,0.60%,5
Chadi Riad,DEF,CRY,0,0.50%,4.5
Holding,DEF,CRY,0,0.50%,4.5
Ebiowei,MID,CRY,0,0.10%,4.5
Kamada,MID,CRY,0,1.10%,5.5
J.Virginia,GKP,EVE,0,0.60%,4
Ndiaye,FWD,EVE,0,0.20%,5.5
Benda,GKP,FUL,0,0.50%,4
Mbabu,DEF,FUL,0,0.70%,4
Stansfield,FWD,FUL,0,0.30%,5
Austin,GKP,TOT,0,0.30%,4
Forster,GKP,TOT,0,0.80%,4.5
Whiteman,GKP,TOT,0,1.00%,4
A.Phillips,DEF,TOT,0,0.60%,4
Spence,DEF,TOT,0,0.50%,4.5
Bergvall,MID,TOT,0,0.40%,4.5
Devine,MID,TOT,0,0.10%,4.5
Gray,MID,TOT,0,0.30%,5
Downes,MID,WHU,0,0.20%,5
L.Guilherme,MID,WHU,0,0.20%,5
King,GKP,WOL,0,0.60%,4
Hoever,DEF,WOL,0,0.60%,4
Mosquera,DEF,WOL,0,0.60%,4
Pedro Lima,DEF,WOL,0,1.10%,4
Chiquinho,MID,WOL,0,0.20%,4.5
Cundle,MID,WOL,0,0.10%,4.5
Guedes,MID,WOL,0,0.50%,5.5
Hodge,MID,WOL,0,0.30%,4.5
Podence,MID,WOL,0,0.50%,5.5
R.Gomes,MID,WOL,0,0.40%,5.5
Strand Larsen,FWD,WOL,0,0.20%,5.5
Bettinelli,GKP,CHE,-1,0.30%,4
C.Miguel,GKP,NFO,0,1.10%,4.5
O.Richards,DEF,NFO,0,0.50%,4.5
Panzo,DEF,NFO,0,0.50%,4
Bowler,MID,NFO,0,0.10%,4.5
Da Silva Moreira,MID,NFO,0,0.10%,4.5
Mighten,MID,NFO,0,0.10%,4.5
O'Brien,MID,NFO,0,0.10%,5
Dennis,FWD,NFO,0,0.40%,5
Ui-jo,FWD,NFO,0,1.50%,4.5
Ruddy,GKP,NEW,0,0.30%,4
Lewis,DEF,NEW,0,0.60%,4
Fraser,MID,NEW,0,0.10%,5
Hayden,MID,NEW,0,0.10%,4.5
Kuol,MID,NEW,0,0.10%,4.5
Bayindir,GKP,MUN,0,0.70%,4.5
Heaton,GKP,MUN,0,0.20%,4
Malacia,DEF,MUN,0,0.50%,4.5
Zirkzee,FWD,MUN,0,2.00%,7
N.Phillips,DEF,LIV,0,0.50%,4
R.Williams,DEF,LIV,0,0.50%,4
Van den Berg,DEF,LIV,0,0.60%,4
Carvalho,MID,LIV,0,0.10%,5
Morton,MID,LIV,0,0.10%,4.5
Carson,GKP,MCI,0,0.20%,4
João Cancelo,DEF,MCI,0,3.10%,5.5